cName,PCON11CD,country,region,leave,FishandChipShopsandRestaurants,totalRestaurants,house,salary,publicsector,degree,age,nonukborn,health
Normanton Pontefract and Castleford,E14000836,England,Yorkshire and The Humber,0.692552829,390,1495,115000,431.7,14.7,15,35,3.7,75.5
Stoke-on-Trent South,E14000974,England,West Midlands,0.708479799,133,750,103250,452.8,14.2,15.8,43,5.2,76.7
Mansfield,E14000810,England,East Midlands,0.708629135,356,1748,110000,423.4,21,16.4,39,5.6,75.8
Clacton,E14000642,England,East of England,0.710765738,207,1037,150000,426.4,26.1,13.4,39,4.3,70.9
South Holland and The Deepings,E14000939,England,East Midlands,0.711779596,170,957,140000,467.9,9.5,17.1,52,8.9,78.8
Great Yarmouth,E14000717,England,East of England,0.715049473,113,704,135000,425,21.2,14.2,33,6.5,76.3
Walsall North,E14001011,England,West Midlands,0.741852182,294,1240,105000,421.6,17.5,12.3,44,6.2,75.9
Doncaster North,E14000669,England,Yorkshire and The Humber,0.720605085,429,1657,100750,497.6,20.6,14.3,40,3.1,76.8
Stoke-on-Trent North,E14000973,England,West Midlands,0.721233699,217,1250,92000,398.5,17.3,13.7,46,7,76.1
Kingston upon Hull East,E14000771,England,Yorkshire and The Humber,0.726331543,484,2493,85000,451.6,14.8,12.3,38,3.9,77.2
Castle Point,E14000622,England,East of England,0.726993924,119,743,200000,570.8,21,14.6,46,3.6,79.6
South Basildon and East Thurrock,E14000933,England,East of England,0.73078706,333,2484,170000,551,32.1,15.6,45,6.5,80.9
Boston and Skegness,E14000582,England,East Midlands,0.749607781,191,1051,125000,436.8,18.7,14.4,32,11.3,75.6
