cName,PCON11CD,country,region,leave,FishandChipShopsandRestaurants,totalRestaurants,house,salary,publicsector,degree,age,nonukborn,health
Ealing North,E14000675,England,London,0.462560922,179,2741,285000,543.4,16.8,30.4,39,46.5,83.1
Bristol East,E14000599,England,South West,0.467952718,159,1497,153500,463.5,19.7,23.1,44,12.7,80.5
Portsmouth South,E14000884,England,South East,0.517630344,109,992,147500,497.5,20.8,26.2,30,16.4,83
Coventry South,E14000651,England,West Midlands,0.48901178,245,1999,139950,523.4,14,26.8,46,22.7,82
Croydon Central,E14000654,England,London,0.503102407,166,2000,225000,569.1,24.2,29.6,43,25.8,82.9
Ruislip Northwood and Pinner,E14000906,England,London,0.490205247,200,2247,385000,672.5,18.1,39.3,44,24.6,84.4
Mitcham and Morden,E14000823,England,London,0.446865238,116,1750,250000,532.5,17.3,28.2,39,40.3,83.3
Bromley and Chislehurst,E14000604,England,London,0.498288693,242,1996,282000,746.5,15.1,33.1,30,15.2,83.4
Chingford and Woodford Green,E14000634,England,London,0.492096412,128,1247,300000,707.6,17,29.4,45,19.8,82.2
Hertford and Stortford,E14000744,England,East of England,0.49213024,331,2995,250000,575,12.6,33.9,37,8.8,86.2
Beaconsfield,E14000550,England,South East,0.492974233,324,3430,370000,659.1,7.1,37,42,13.4,85.8
Bradford West,E14000589,England,Yorkshire and The Humber,0.467408544,636,3700,105000,383,31.5,19.7,41,32.4,79.9
Caithness Sutherland and Easter Ross,S14000009,Scotland,Scotland,0.494353494,38,295,NA,461.3,29.2,21.1,41,3.7,81.7
Bridgend,W07000073,Wales,Wales,0.496508306,201,993,145000,529.3,33.3,26.6,35,4.6,77.8
Loughborough,E14000797,England,East Midlands,0.496691347,137,997,156000,538.4,11.8,27.6,34,12.1,83.5
Bristol South,E14000601,England,South West,0.479528379,184,2247,170000,478.7,18.4,24.3,38,8.3,79.3
Milton Keynes North,E14000821,England,South East,0.498002327,422,3982,187000,498.3,8.7,29.5,36,19.5,85.4
Runnymede and Weybridge,E14000907,England,South East,0.498002617,308,3163,312000,585,12.2,33.8,40,18.1,86.1
Colne Valley,E14000645,England,Yorkshire and The Humber,0.498245959,425,1991,133200,493.9,29,29.8,41,7.6,81.8
Moray,S14000046,Scotland,Scotland,0.498731967,200,1375,NA,434.3,25.8,22.7,43,5.3,85
Wythenshawe and Sale East,E14001059,England,North West,0.498734782,297,2250,142000,437.2,17.5,24.8,34,12,78.7
Gower,W07000046,Wales,Wales,0.501766498,267,1942,150000,562.5,22.4,31.7,41,3.5,79.1
Weaver Vale,E14001024,England,North West,0.50198502,253,1500,150000,513.6,13.7,27.6,41,3.8,81.1
Liverpool West Derby,E14000796,England,North West,0.502827116,403,2000,97750,454.1,47.3,17.2,36,5.8,76.2
Salisbury,E14000912,England,South West,0.503384916,167,1439,220000,521.9,26,32.2,50,8.3,82.9
North Wiltshire,E14000860,England,South West,0.503664327,272,2686,215000,541.5,10.5,32.1,35,6.8,84.9
East Devon,E14000678,England,South West,0.504568879,272,2493,229995,500.4,18.5,31.1,45,5.3,80.8
Harrow East,E14000731,England,London,0.474785845,116,1500,340000,580.7,19.9,32.7,43,46.9,82.4
Banbury,E14000539,England,South East,0.505358953,179,2271,210000,537.4,15.9,27.3,42,11.2,85.1
Chelmsford,E14000628,England,East of England,0.505457255,126,1242,215250,561.1,30.2,29.6,39,9.1,85
High Peak,E14000748,England,East Midlands,0.505480277,279,1656,148000,508.5,23.2,29.4,33,3.6,81.6
Warrington South,E14001018,England,North West,0.506201022,420,1750,169998,575.5,20.4,31.7,47,6.1,84.2
Chichester,E14000633,England,South East,0.506428814,355,2859,270000,503.9,20.8,32.4,39,8.2,82.4
Southampton Test,E14000956,England,South East,0.506528365,190,1996,155569,505,33,26.9,30,21,82.9
Arundel and South Downs,E14000534,England,South East,0.506853836,783,5538,299998,587.6,9.2,33,39,6.7,83.8
Hertsmere,E14000745,England,East of England,0.508365256,325,3000,310000,515.8,10.8,30.8,41,17,84.4
Plymouth Sutton and Devonport,E14000880,England,South West,0.544052353,105,645,140000,458.2,14.9,24.6,40,10.8,80.8
Lancaster and Fleetwood,E14000776,England,North West,0.509139906,274,1317,125000,536.2,26.7,26.5,42,8.2,80.8
Saffron Walden,E14000910,England,East of England,0.509249359,373,3894,290000,613.1,23.1,31.3,43,7.1,85.4
Ynys Mon,W07000041,Wales,Wales,0.509420042,324,1838,142750,444.8,24.7,26.1,41,3.5,78.6
Somerton and Frome,E14000932,England,South West,0.509619902,399,3357,190000,504.1,13.2,28.9,42,5.8,82.3
West Dorset,E14001031,England,South West,0.509966617,216,1753,235000,516.1,30,30.8,45,5.6,80.2
Colchester,E14000644,England,East of England,0.5106418,234,1532,171000,509.9,25.2,26.9,37,13.3,83.9
Huddersfield,E14000756,England,Yorkshire and The Humber,0.510812505,483,2241,111500,448.4,19.5,23.7,38,16.6,79.2
South Norfolk,E14000941,England,East of England,0.511065437,387,3072,182500,507.2,28,27.5,45,4.8,82.3
Stratford-on-Avon,E14000977,England,West Midlands,0.511654288,423,3700,249950,535.7,10.6,33.6,32,6.7,82.8
Central Devon,E14000623,England,South West,0.511788721,263,2142,214995,455.1,11.6,30.9,39,4.9,81.8
Watford,E14001021,England,East of England,0.511840428,337,2999,245000,610.4,34.3,31.6,26,22.1,84.8
Sutton and Cheam,E14000984,England,London,0.512674333,179,1735,255500,586.4,16.4,32.9,31,22,84.8
Derbyshire Dales,E14000664,England,East Midlands,0.512857412,405,3160,222000,505.9,26,33.8,42,3.3,81.8
Blackley and Broughton,E14000571,England,North West,0.513329092,228,2250,100000,407.3,34.2,19.8,28,26.4,77.1
North East Hertfordshire,E14000845,England,East of England,0.513769341,451,3996,240000,626.4,10.1,31.2,39,8.2,84.2
Hazel Grove,E14000738,England,North West,0.522085915,289,1495,170000,527.4,11.5,27.9,42,4,80.2
Devizes,E14000665,England,South West,0.514643908,211,1924,225000,480.3,21.2,28.5,38,9,85.6
South Swindon,E14000947,England,South West,0.515744425,276,2555,155000,524.2,19.6,24.7,43,16.7,83.1
Leicester West,E14000784,England,East Midlands,0.516656347,83,1000,110000,405.5,23.9,19.9,37,23.1,80.5
Brecon and Radnorshire,W07000068,Wales,Wales,0.517243179,361,1465,168000,422.1,30.9,27.8,37,4.6,78
Calder Valley,E14000614,England,Yorkshire and The Humber,0.531642131,788,3470,130000,528.1,10.8,29.9,45,3.9,81.4
Birkenhead,E14000559,England,North West,0.517076065,766,4250,110000,459.1,23,19.9,37,4.7,75.9
Surrey Heath,E14000983,England,South East,0.519961757,325,3736,278000,625,17.4,33.3,44,12.5,86.3
Aylesbury,E14000538,England,South East,0.521016134,260,3479,219950,512.8,25.8,30,40,13,85.3
North East Somerset,E14000846,England,South West,0.521168812,234,2245,207000,495.5,15.6,28.6,39,4.7,83.2
